epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40069,3.41504,4.28598,3.20876,0,0,0,0,4.91806,10.3291,3.71009,0,0,0
2,9.34242,4.00697,5.23139,4.00222,0,0,0,0,4.91205,9.51291,3.67711,1.63399e-05,1.63399e-05,1.63399e-05
3,15.2066,2.95879,3.60747,2.10431,0,0,0,0,4.99178,9.81622,3.67305,3.20197e-05,3.20197e-05,3.20197e-05
4,21.3429,2.79551,4.33751,2.31421,0,0,0,0,5.14753,14.7476,3.55074,4.70394e-05,4.70394e-05,4.70394e-05
5,29.6907,1.93586,6.18331,2.02174,0,0,0,0,5.13396,13.1187,3.48293,6.13989e-05,6.13989e-05,6.13989e-05
6,40.55,1.92452,2.57648,1.58689,0,0,0,0,4.66514,11.277,3.37447,7.50984e-05,7.50984e-05,7.50984e-05
7,49.6525,2.74932,2.54062,1.7017,0,0,0,0,4.74306,10.6036,3.63584,8.81376e-05,8.81376e-05,8.81376e-05
8,57.7415,1.80889,2.63174,1.48459,0,0,0,0,4.72446,9.33144,3.98633,0.000100517,0.000100517,0.000100517
9,66.7638,1.05449,1.38371,1.05299,0,0,0,0,4.60616,9.00816,3.98309,0.000112236,0.000112236,0.000112236
10,74.6763,1.56992,4.07093,1.66375,0,0,0,0,3.07528,9.51008,2.24652,0.000123295,0.000123295,0.000123295
11,82.802,2.16063,4.66867,1.42336,0.00549,1,0.0055,0.00165,2.07698,11.7933,1.51311,0.000133693,0.000133693,0.000133693
12,91.2117,1.52214,3.73884,1.32449,0.00532,1,0.02488,0.00498,2.15255,38.2187,1.36231,0.000143432,0.000143432,0.000143432
13,99.4845,1.01244,4.68751,1.11067,0.01808,1,0.04326,0.00433,2.31804,22.6416,1.46262,0.00015251,0.00015251,0.00015251
14,106.936,2.51712,4.2182,2.30768,0.00606,1,0.02314,0.00694,1.97665,52.094,1.56046,0.000160929,0.000160929,0.000160929
15,114.37,1.5191,5.0225,1.70345,0.0061,1,0.00691,0.00069,3.95163,65.4973,3.06332,0.000168687,0.000168687,0.000168687
16,121.434,1.2759,4.97809,1.51504,0,0,0,0,3.97375,22.7448,3.85454,0.000175785,0.000175785,0.000175785
17,128.482,1.26036,3.14136,1.51776,0,0,0,0,3.9774,18.4749,3.8067,0.000182223,0.000182223,0.000182223
18,135.359,1.03852,3.61046,1.25619,0,0,0,0,3.9774,18.4749,3.8067,0.000188001,0.000188001,0.000188001
19,142.524,0.65862,1.19677,0.92737,0,0,0,0,4.17612,32.7662,4.36965,0.000193119,0.000193119,0.000193119
20,149.903,0.9994,2.38571,1.30069,0,0,0,0,4.17612,32.7662,4.36965,0.000197576,0.000197576,0.000197576
21,157.162,1.21781,1.43332,1.14307,0,0,0,0,4.20328,65.9276,4.03261,0.000201374,0.000201374,0.000201374
22,164.938,0.69378,0.89872,0.91506,0,0,0,0,4.20328,65.9276,4.03261,0.000204511,0.000204511,0.000204511
23,173.725,1.49849,2.82303,1.46802,0,0,0,0,3.2163,294.867,3.00937,0.000206988,0.000206988,0.000206988
24,183.329,1.95497,2.87192,1.76914,0,0,0,0,3.2163,294.867,3.00937,0.000208805,0.000208805,0.000208805
25,194.684,0.80789,1.75431,1.33862,0,0,0,0,3.22488,284.972,2.96625,0.000209962,0.000209962,0.000209962
